Food,Carbs,Calories,Protein,Fat
"Beef, chuck, under blade pot roast or steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,485.0,19.2,12.27
"Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.31,363.5,21.13,6.07
"Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.39,375.5,21.19,6.51
"Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.19,346.5,21.03,5.41
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",0.0,755.0,26.7,20.49
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",0.0,794.0,26.39,21.48
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",0.0,745.5,27.17,19.02
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",0.0,560.5,30.54,10.46
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0.0,598.0,30.45,11.14
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",0.0,560.0,30.68,9.44
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",0.0,712.5,28.23,18.0
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",0.0,736.5,27.6,19.3
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",0.0,677.0,29.18,16.05
"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",0.0,568.0,31.35,10.41
"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0.0,575.0,30.91,10.91
"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",0.0,557.0,32.01,9.66
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, all grades, cooked",0.0,596.0,28.4,12.42
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,434.0,20.95,9.3
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, cooked",0.0,604.5,28.17,12.53
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,457.0,21.34,10.08
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, cooked",0.0,525.0,28.61,9.18
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,407.0,21.2,8.0
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked",0.0,671.5,26.11,16.59
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,558.5,20.01,14.42
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked",0.0,694.5,25.85,17.68
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,579.5,19.79,15.42
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, cooked",0.0,635.5,26.06,15.09
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,501.0,19.06,12.4
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",0.0,526.5,29.9,8.37
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,358.5,22.15,5.54
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, cooked",0.0,534.0,29.51,8.87
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, raw",0.0,392.0,21.55,7.24
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, select, cooked",0.0,488.0,29.88,7.12
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, select, raw",0.0,345.0,22.03,4.99
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, cooked",0.0,502.0,28.95,8.15
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,363.5,22.15,5.38
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,369.0,22.01,6.05
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, select, cooked",0.0,433.5,27.51,6.37
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,338.0,22.37,4.55
"Beef, corned beef hash, with potato, canned",9.27,425.5,8.73,10.24
"Beef, cured, breakfast strips, cooked",1.4,1164.0,31.3,34.4
"Beef, cured, breakfast strips, raw or unheated",0.7,1052.5,12.5,38.8
"Beef, cured, corned beef, brisket, cooked",0.47,650.5,18.17,18.98
"Beef, cured, corned beef, brisket, raw",0.14,513.0,14.68,14.9
"Beef, cured, corned beef, canned",0.0,648.0,27.1,14.93
"Beef, cured, dried",2.76,396.5,31.1,1.94
"Beef, cured, luncheon meat, jellied",0.0,287.5,19.0,3.3
"Beef, cured, pastrami",0.36,381.0,21.8,5.82
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,498.5,27.66,8.23
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,402.5,21.22,7.17
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",0.0,681.5,26.98,16.44
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",0.0,522.5,27.55,9.31
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,428.5,21.22,8.29
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",0.0,474.5,27.78,7.15
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,376.5,21.22,6.06
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",0.0,481.5,27.89,7.4
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,366.5,21.57,5.47
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0.0,614.5,28.02,13.0
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",0.0,502.5,27.82,8.32
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",0.0,387.0,21.72,6.29
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",0.0,461.0,27.96,6.48
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, raw",0.0,354.0,21.43,5.0
"Beef, grass-fed, ground, raw",0.0,513.0,19.42,12.73
"Beef, grass-fed, strip steaks, lean only, raw",0.0,302.5,23.07,2.69
"Beef, ground, 70% lean meat / 30% fat, crumbles, cooked, pan-browned",0.0,700.5,25.56,17.86
"Beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked",0.0,624.0,23.87,15.37
"Beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled",0.0,616.5,22.86,15.54
"Beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled",0.0,717.5,25.38,18.66
"Beef, ground, 70% lean meat / 30% fat, raw",0.0,860.5,14.35,30.0
"Beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned",0.0,717.0,26.28,18.21
"Beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked",0.0,658.0,24.56,16.5
"Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",0.0,724.0,25.56,18.87
"Beef, ground, 75% lean meat / 25% fat, patty, cooked, pan-broiled",0.0,644.0,23.45,16.44
"Beef, ground, 75% lean meat / 25% fat, raw",0.0,759.0,15.76,25.0
"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",0.0,705.0,27.0,17.36
"Beef, ground, 80% lean meat / 20% fat, loaf, cooked, baked",0.0,657.5,25.25,16.17
"Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",0.0,700.5,25.75,17.78
"Beef, ground, 80% lean meat / 20% fat, patty, cooked, pan-broiled",0.0,638.5,24.04,15.94
"Beef, ground, 80% lean meat / 20% fat, raw",0.0,658.0,17.17,20.0
"Beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",0.0,664.5,27.73,15.3
"Beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",0.0,622.5,25.93,14.36
"Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",0.0,647.5,25.93,15.41
"Beef, ground, 85% lean meat / 15% fat, patty, cooked, pan-broiled",0.0,600.5,24.62,14.02
"Beef, ground, 85% lean meat / 15% fat, raw (Includes foods for USDA's Food Distribution Program)",0.0,556.5,18.59,15.0
"Beef, ground, 90% lean meat / 10% fat, crumbles, cooked, pan-browned",0.0,596.5,28.45,12.04
"Beef, ground, 90% lean meat / 10% fat, loaf, cooked, baked",0.0,554.0,26.62,11.1
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",0.0,563.5,26.11,11.75
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, pan-broiled",0.0,529.0,25.21,10.68
"Beef, ground, 90% lean meat / 10% fat, raw",0.0,455.5,20.0,10.0
"Beef, ground, 93% lean meat / 7% fat, crumbles, cooked, pan-browned",0.0,542.0,28.88,9.51
"Beef, ground, 93% lean meat / 7% fat, loaf, cooked, baked",0.0,496.5,27.03,8.43
"Beef, ground, 93% lean meat / 7% fat, patty, cooked, broiled",0.0,499.5,26.22,8.94
"Beef, ground, 93% lean meat / 7% fat, raw",0.0,394.5,20.85,7.0
"Beef, ground, 93% lean meat /7% fat, patty, cooked, pan-broiled",0.06,471.0,25.56,8.01
"Beef, ground, 95% lean meat / 5% fat, crumbles, cooked, pan-browned",0.0,500.0,29.17,7.58
"Beef, ground, 95% lean meat / 5% fat, loaf, cooked, baked",0.0,451.0,27.31,6.37
"Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled",0.0,450.0,26.29,6.8
"Beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled",0.0,424.5,25.8,5.94
"Beef, ground, 95% lean meat / 5% fat, raw",0.0,354.0,21.41,5.0
"Beef, ground, 97% lean meat / 3% fat, crumbles, cooked, pan-browned",0.0,453.5,29.46,5.46
"Beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked",0.0,400.0,27.58,4.06
"Beef, ground, 97% lean meat / 3% fat, patty, cooked, broiled",0.0,396.0,26.36,4.46
"Beef, ground, 97% lean meat / 3% fat, raw",0.0,313.5,21.98,3.0
"Beef, ground, 97% lean meat /3% fat, patty, cooked, pan-broiled",0.0,373.5,26.03,3.65
"Beef, ground, patties, frozen, cooked, broiled",0.0,765.5,23.05,21.83
"Beef, ground, unspecified fat content, cooked",0.62,623.0,25.07,14.53
"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",0.0,472.0,26.75,8.34
"Beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,686.5,29.97,15.18
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",0.0,473.5,27.31,8.14
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,386.0,21.67,6.93
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",0.0,488.0,27.26,8.82
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,396.0,21.5,7.4
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",0.0,450.0,27.38,7.12
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,372.5,21.91,6.21
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",0.0,460.0,27.51,7.49
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,361.0,21.94,5.74
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",0.0,474.5,27.48,8.13
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.0,370.0,21.78,6.16
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,349.0,22.16,5.1
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0.0,438.0,27.55,6.54
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,546.0,30.5,8.91
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,381.0,21.72,6.67
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,561.5,30.21,9.71
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,389.0,21.57,7.1
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,522.5,30.93,7.7
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,368.0,21.95,6.02
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,512.5,30.7,8.32
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,361.0,21.94,5.74
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,548.0,30.45,9.03
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.0,370.0,21.78,6.16
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,513.5,31.09,7.25
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,349.0,22.16,5.1
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,577.0,28.57,11.15
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,423.0,22.43,8.17
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,604.5,28.19,12.51
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,443.5,22.19,9.16
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,536.0,29.16,9.12
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,392.0,22.79,6.67
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,523.5,29.53,8.41
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,371.5,23.07,5.67
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,546.5,29.22,9.52
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",0.0,385.5,22.93,6.34
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,489.5,29.99,6.74
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",0.0,350.0,23.3,4.66
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,684.0,26.18,17.69
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,516.5,21.29,12.68
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,713.5,25.69,19.19
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,531.0,21.13,13.36
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,639.5,26.92,15.44
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,495.0,21.54,11.65
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,513.5,29.06,9.11
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,371.5,23.07,5.67
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,538.5,28.66,10.34
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,385.5,22.93,6.34
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.0,477.0,29.67,7.26
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,350.0,23.3,4.66
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,685.0,26.44,16.78
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,614.5,19.32,17.1
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,649.0,26.72,15.11
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,579.5,20.59,15.04
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.8,627.5,26.0,15.0
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,495.5,19.9,12.4
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",1.1,617.5,26.3,14.3
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,516.5,19.7,13.4
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.4,644.5,25.5,16.1
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,463.0,20.1,10.9
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.73,469.0,28.26,7.23
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,347.0,21.38,5.36
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",1.07,489.0,28.19,7.96
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,357.0,21.34,5.82
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.22,440.0,28.36,6.14
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,331.5,21.44,4.68
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,442.5,30.58,5.37
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,451.5,30.45,5.83
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,428.5,30.78,4.68
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",0.0,440.0,29.12,5.92
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",0.0,449.0,28.97,6.37
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",0.0,427.0,29.35,5.25
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,331.5,23.04,3.98
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.0,341.5,23.03,4.4
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,317.0,23.05,3.35
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,635.5,29.36,14.2
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,484.5,20.38,11.71
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,656.5,28.9,15.3
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,506.0,20.06,12.78
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,604.0,30.06,12.54
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,452.0,20.87,10.11
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,607.0,29.99,12.69
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,425.5,21.17,8.82
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,626.5,29.56,13.72
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, raw",0.0,444.0,20.89,9.76
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,578.0,30.64,11.16
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw",0.0,397.0,21.61,7.41
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,758.0,27.06,20.47
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.35,600.5,17.98,17.59
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,778.5,26.46,21.62
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",0.35,617.0,17.69,18.44
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,727.5,27.95,18.75
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",0.36,575.5,18.43,16.31
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,730.5,27.68,19.01
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",0.19,535.0,18.74,14.53
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,753.5,27.03,20.28
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",0.17,549.0,18.47,15.26
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,695.5,28.65,17.1
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw",0.23,514.0,19.14,13.44
"Beef, plate, inside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,571.0,26.13,12.05
"Beef, plate, inside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",0.0,530.5,26.66,10.06
"Beef, plate, outside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,661.0,23.51,17.13
"Beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",0.0,603.5,24.18,14.37
"Beef, retail cuts, separable fat, cooked",0.0,1762.5,10.65,70.33
"Beef, retail cuts, separable fat, raw",0.0,1747.0,8.21,70.89
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,777.5,23.47,22.91
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,795.0,23.53,23.61
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",0.0,752.0,23.36,21.85
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,599.5,27.12,13.64
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,621.5,27.18,14.55
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",0.0,567.0,27.03,12.29
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,757.0,24.3,21.66
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,784.5,23.92,22.98
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",0.0,717.0,24.85,19.68
"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,565.0,28.21,11.68
"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,592.5,27.87,13.01
"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",0.0,523.5,28.72,9.68
"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,802.0,22.9,24.2
"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,811.5,22.71,24.7
"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,788.0,23.19,23.47
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,574.0,27.4,12.43
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,594.0,27.03,13.44
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.0,544.5,27.96,10.91
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,701.5,24.85,19.02
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.12,591.0,19.26,16.71
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,739.5,23.89,21.1
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, raw",0.2,625.5,18.69,18.43
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,643.5,26.29,15.9
